featurizer,dataset_and_task,n_valid,rogi
vae,CACO2_WANG,910,0.2851029450844119
vae,CACO2_WANG,910,0.2807925896175967
vae,CACO2_WANG,910,0.28032174164130697
vae,CACO2_WANG,910,0.2874724447489211
vae,CACO2_WANG,910,0.28472736267832977
vae,HALF_LIFE_OBACH,667,0.11642836886312433
vae,HALF_LIFE_OBACH,667,0.11546185076890626
vae,HALF_LIFE_OBACH,667,0.11582819503584775
vae,HALF_LIFE_OBACH,667,0.11749732744510291
vae,HALF_LIFE_OBACH,667,0.11781685114457864
vae,CLEARANCE_MICROSOME_AZ,1102,0.5103583350091411
vae,CLEARANCE_MICROSOME_AZ,1102,0.5083352513060084
vae,CLEARANCE_MICROSOME_AZ,1102,0.5017103624225671
vae,CLEARANCE_MICROSOME_AZ,1102,0.5091099356191525
vae,CLEARANCE_MICROSOME_AZ,1102,0.5117503102063945
vae,VDSS_LOMBARDO,1130,0.05651127572191235
vae,VDSS_LOMBARDO,1130,0.05623648707840394
vae,VDSS_LOMBARDO,1130,0.0560404368535199
vae,VDSS_LOMBARDO,1130,0.05617819022550659
vae,VDSS_LOMBARDO,1130,0.0566677588336256
vae,LIPOPHILICITY_ASTRAZENECA,4200,0.3341754688154053
vae,LIPOPHILICITY_ASTRAZENECA,4200,0.33490402084942916
vae,LIPOPHILICITY_ASTRAZENECA,4200,0.3357708685643472
vae,LIPOPHILICITY_ASTRAZENECA,4200,0.3331464462316205
vae,LIPOPHILICITY_ASTRAZENECA,4200,0.33510555949196424
vae,LD50_ZHU,7385,0.14342701711614503
vae,LD50_ZHU,7385,0.14424247619308117
vae,LD50_ZHU,7385,0.14293612336777628
vae,LD50_ZHU,7385,0.14310853918180486
vae,LD50_ZHU,7385,0.14365904969339308
vae,HYDRATIONFREEENERGY_FREESOLV,642,0.1750529792956464
vae,HYDRATIONFREEENERGY_FREESOLV,642,0.17744696560823753
vae,HYDRATIONFREEENERGY_FREESOLV,642,0.17703986180036438
vae,HYDRATIONFREEENERGY_FREESOLV,642,0.1767411401085502
vae,HYDRATIONFREEENERGY_FREESOLV,642,0.1795907095145174
vae,CLEARANCE_HEPATOCYTE_AZ,1213,0.5668855471675199
vae,CLEARANCE_HEPATOCYTE_AZ,1213,0.5798068657004203
vae,CLEARANCE_HEPATOCYTE_AZ,1213,0.5812373968249013
vae,CLEARANCE_HEPATOCYTE_AZ,1213,0.562659146775065
vae,CLEARANCE_HEPATOCYTE_AZ,1213,0.5609601850065435
vae,PPBR_AZ,1614,0.301595321431431
vae,PPBR_AZ,1614,0.301177985740052
